,Gazepath,Dispersion,Velocity,Gazepath,Dispersion,Velocity,Gazepath,Dispersion,Velocity,Count,Avg. Duration,Cum. Duration,,Ground Truth,Gazepath,Dispersion,Velocity,Ground Truth,Gazepath,Dispersion,Velocity
11,6,4,2,634.6667,978,1996.5,3808,3912,3993,5,782.6,3913,,,,,,,,,
12,8,8,6,356.875,384.625,522.3333,2855,3077,3134,8,378,3024,,,,,,,,,
13,11,9,7,331.4545,434.3333,557.2857,3646,3909,3901,9,428.1111,3853,,,,,,,,,
14,10,9,9,362.7,433.4444,431,3627,3901,3879,9,428.5556,3857,,,,,,,,,
15,10,10,7,361.9,393.3,561.7143,3619,3933,3932,10,389.7,3897,,,,,,,,,
16,12,11,10,283.5,347.9091,384,3402,3827,3840,13,296.6154,3856,,,,,,,,,
17,6,8,7,500.1667,432.875,501.7143,3001,3463,3512,8,411.375,3291,,,,,,,,,
18,10,10,9,321.4,347.1,387.1111,3214,3471,3484,12,299.3333,3592,,,,,,,,,
19,12,11,8,262.1667,315.2727,446.625,3146,3468,3573,14,272.7143,3818,,,,,,,,,
20,11,11,9,325.1818,353.0909,432.2222,3577,3884,3890,11,349.7273,3847,,,,,,,,,
21,7,6,6,505.8571,641.3333,642.1667,3541,3848,3853,7,547.4286,3832,,,,,,,,,
22,10,7,6,311.6,473.8571,560.3333,3116,3317,3362,9,396.1111,3565,,,,,,,,,
23,13,11,8,272.5385,349,482,3543,3839,3856,12,317.4167,3809,,,,,,,,,
24,11,9,5,293,392.3333,721,3223,3531,3605,10,346.8,3468,,,,,,,,,
25,10,10,9,353.1,377.4,420.1111,3531,3774,3781,11,337.6364,3714,,,,,,,,,
26,7,6,6,467,584.6667,618.3333,3269,3508,3710,7,512.4286,3587,,,,,,,,,
27,12,11,8,235.8333,265.9091,373.125,2830,2925,2985,11,261.6364,2878,,,,,,,,,
28,13,1,1,165.8462,4000,4000,2156,4000,4000,3,1332.333,3997,,,,,,,,,
29,11,10,8,305.7273,367.4,468.625,3363,3674,3749,11,330.9091,3640,,,,,,,,,
30,14,11,6,250.5,349.3636,641.6667,3507,3843,3850,12,316.6667,3800,,,,,,,,,
1,31,30,18,347.5161,385.8333,650.3333,10773,11575,11706,33,345.5455,11403,,,,,,,,,
2,23,21,13,468,537.2857,884.6154,10764,11283,11500,25,445.36,11134,,,,,,,,,
3,30,28,21,374.8,427.5,576.9524,11244,11970,12116,30,396.7333,11902,,,,,,,,,
4,32,32,23,329.1875,359.3125,501.4348,10534,11498,11533,33,341.0606,11255,,,,,,,,,
5,35,30,23,317.1429,389.6333,517.4348,11100,11689,11901,37,313.8108,11611,,,,,,,,,
6,12,9,6,985.75,1345.222,2034.333,11829,12107,12206,11,1098.727,12086,,,,,,,,,
7,31,26,18,352.5161,453.5769,659.1667,10928,11793,11865,28,413.5714,11580,,,,,,,,,
8,28,26,19,344.5,401.3462,574.5263,9646,10435,10916,32,334.0625,10690,,,,,,,,,
9,31,27,18,343.871,423.0741,645.1667,10660,11423,11613,33,345.4242,11399,,,,,,,,,
10,38,35,23,284.9474,342.6857,522.6087,10828,11994,12020,37,317.6757,11754,,,,,,,,,
11,37,24,16,291.1351,501.0417,754,10772,12025,12064,27,439.037,11854,,,,,,,,,
